Year,Tag File,NFish,Tag ID,SpRRT,Length,Mark Site,Release Site,Total RKM,Release Date,Obs Site,Obs Time,Stage,Travel Days,NotFirst,Min Time,Max Time,Location Days
2015,MSH13073.WML,389,3D6.000B099E2E,11H,,WZDF,BCHINL,505,2013-03-14,DRM,2015-05-19 13:01:06,A ,795.71,,2015-05-19 13:01:06,2015-05-19 13:01:38,0.00
2015,JAR12297.RB2,3738,3D9.1C2DEFFDD1,11H,,ROBU,PELTON,489,2013-04-15,DRM,2015-04-22 12:41:43,A ,737.15,,2015-04-22 12:41:43,2015-04-22 12:42:12,0.00
2015,JAR12297.RB2,3738,3D9.1C2DF0863B,11H,,ROBU,PELTON,489,2013-04-15,DRM,2015-04-26 23:03:45,A ,741.59,,2015-04-26 23:03:45,2015-04-26 23:03:47,0.00
2015,JAR12297.RB2,3738,3D9.1C2DF0A76D,11H,,ROBU,PELTON,489,2013-04-15,DRM,2015-05-05 19:15:02,A ,750.43,,2015-05-05 19:15:02,2015-05-05 19:15:02,0.00
2015,JAR12297.RB2,3738,3D9.1C2DF2F26A,11H,,ROBU,PELTON,489,2013-04-15,DRM,2015-05-09 21:05:02,A ,754.50,,2015-05-09 21:05:02,2015-05-09 21:05:09,0.00
2015,DBR14342.CL1.DART2,153,3DD.003BD41783,11H,,ROBU,PELTON,489,2015-04-07,DRM,2015-07-30 15:04:37,A ,114.63,,2015-07-30 15:04:37,2015-07-30 15:04:37,0.00
2015,JCL12294.SCT,7,3D9.1C2DE88B25,11W,103,SHTIKC,SHTIKC,484,2012-10-20,DRM,2015-05-26 14:04:40,A ,948.24,,2015-05-26 14:04:40,2015-05-26 14:05:17,0.00
2015,JCL13312.SCT,69,3D9.1C2E092436,11W,77,SHTIKC,SHTIKC,484,2013-11-08,DRM,2015-09-30 01:48:13,A ,690.49,,2015-09-30 01:48:13,2015-09-30 01:48:13,0.00
2015,JCL13078.WST,126,3D9.1C2DE907A1,11W,106,WARMSR,WARMSR,464,2013-03-19,DRM,2015-04-19 11:33:51,A ,760.86,,2015-04-19 11:33:51,2015-04-19 11:33:51,0.00
2015,JCL12299.WST,49,3D9.1C2DE8CCE6,11W,103,WARMSR,WARMSR,464,2012-10-25,DRM,2015-04-20 16:30:07,A ,907.16,,2015-04-20 16:30:07,2015-04-20 16:30:07,0.00
2015,JCL13081.WST,191,3D9.1C2DE7AC03,11W,111,WARMSR,WARMSR,464,2013-03-22,DRM,2015-04-23 09:21:28,A ,761.89,,2015-04-23 09:21:28,2015-04-23 09:21:31,0.00
2015,JCL13081.WST,191,3D9.1C2DE8977D,11W,116,WARMSR,WARMSR,464,2013-03-22,DRM,2015-04-29 21:36:03,A ,768.40,,2015-04-29 21:36:03,2015-04-29 21:36:15,0.00
2015,JCL13072.WST,10,3D9.1C2DE95D68,11W,97,WARMSR,WARMSR,464,2013-03-13,DRM,2015-05-09 20:34:30,A ,787.25,,2015-05-09 20:34:30,2015-05-09 20:34:30,0.00
2015,JCL14104.WST,27,3D9.1C2E0352EB,11W,107,WARMSR,WARMSR,464,2014-04-14,DRM,2015-09-07 00:56:44,A ,510.56,,2015-09-07 00:56:44,2015-09-07 00:56:44,0.00
2015,JCL14135.WSH,35,3D9.1C2E0442F4,11W,140,WARMSR,WARMSR,464,2014-05-15,DRM,2015-09-08 20:34:07,A ,481.25,,2015-09-08 20:34:07,2015-09-08 20:36:56,0.00
2015,JCL15110.WST,16,3D9.1C2E038347,11W,137,WARMSR,WARMSR,464,2015-04-20,DRM,2015-09-24 23:18:55,A ,157.44,,2015-09-24 23:18:55,2015-09-24 23:18:55,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF84F6B,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-03 00:34:04,A ,731.65,,2015-04-03 00:34:04,2015-04-03 00:34:13,0.00
2015,JAR13037.WS4,3275,3D9.1C2DF20074,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-10 01:32:53,A ,738.69,,2015-04-10 01:32:53,2015-04-10 01:32:53,0.00
2015,JAR13037.WS4,3275,3D9.1C2DF3208E,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-12 04:07:49,A ,740.80,,2015-04-12 04:07:49,2015-04-12 05:08:10,0.04
2015,JAR13037.WS4,3275,3D9.1C2DF2245F,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-12 19:16:55,A ,741.43,,2015-04-12 19:16:55,2015-04-12 19:18:13,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF29502,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-13 02:12:23,A ,741.72,,2015-04-13 02:12:23,2015-04-13 02:13:32,0.00
2015,JAR13037.WS4,3275,3D9.1C2DF2D025,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-14 18:15:55,A ,743.39,,2015-04-14 18:15:55,2015-04-14 18:16:02,0.00
2015,JAR13037.WS4,3275,3D9.1C2DF2AA37,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-15 09:10:20,A ,744.01,,2015-04-15 09:10:20,2015-04-15 09:25:39,0.01
2015,JAR13037.WS3,4175,3D9.1C2DF37AD0,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-17 14:49:22,A ,746.24,,2015-04-17 14:49:22,2015-04-17 14:49:22,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF350E0,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-18 13:48:25,A ,747.20,,2015-04-18 13:48:25,2015-04-18 13:49:19,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF219A9,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-19 18:45:09,A ,748.41,,2015-04-19 18:45:09,2015-04-19 18:45:41,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF339A2,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-19 23:46:12,A ,748.62,,2015-04-19 23:46:12,2015-04-19 23:46:12,0.00
2015,JAR13037.WS4,3275,3D9.1C2DF30A68,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-20 03:30:16,A ,748.77,,2015-04-20 03:30:16,2015-04-20 03:30:21,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF3204E,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-20 06:11:53,A ,748.88,,2015-04-20 06:11:53,2015-04-20 11:48:36,0.23
2015,JAR13036.WS2,2576,3D9.1C2DF23E86,11H,,WSPH,WSPH,479,2013-04-01,DRM,2015-04-20 13:34:42,A ,749.19,,2015-04-20 13:34:42,2015-04-20 13:34:42,0.00
