Year,Tag File,NFish,Tag ID,SpRRT,Length,Mark Site,Release Site,Total RKM,Release Date,Obs Site,Obs Time,Stage,Travel Days,NotFirst,Min Time,Max Time,Location Days
2025,OTD-2022-299-PEL.xml,4937,3DD.003E16D54B,11H,,ROBU,PELTON,489,2023-04-05,DSF,2025-05-02 18:28:50,A ,758.48,,2025-05-02 18:28:50,2025-05-02 18:28:50,0.00
2025,OTD-2022-305-PEL.xml,4777,3DD.003E16EE3B,11H,,ROBU,PELTON,489,2023-04-05,DSF,2025-05-12 10:51:25,A ,768.16,,2025-05-12 10:51:25,2025-05-12 10:51:25,0.00
2025,OTD-2022-305-PEL.xml,4777,3DD.003E16F7AA,11H,,ROBU,PELTON,489,2023-04-05,DSF,2025-05-12 16:04:06,A ,768.38,,2025-05-12 16:04:06,2025-05-12 16:04:06,0.00
2025,OTD-2022-298-PEL.xml,4923,3DD.003E16D941,11H,,ROBU,PELTON,489,2023-04-05,DSF,2025-05-12 22:15:31,A ,768.64,,2025-05-12 22:15:31,2025-05-12 22:15:31,0.00
2025,OTD-2022-298-PEL.xml,4923,3DD.003E16DA5B,11H,,ROBU,PELTON,489,2023-04-05,DSF,2025-05-14 08:24:51,A ,770.06,,2025-05-14 08:24:51,2025-05-14 08:24:51,0.00
2025,OTD-2022-298-PEL.xml,4923,3DD.003E16E3FC,11H,,ROBU,PELTON,489,2023-04-05,DSF,2025-05-14 12:10:13,A ,770.22,,2025-05-14 12:10:13,2025-05-14 12:10:13,0.00
2025,OTD-2022-298-PEL.xml,4923,3DD.003E16DB63,11H,,ROBU,PELTON,489,2023-04-05,DSF,2025-05-14 19:38:15,A ,770.53,,2025-05-14 19:38:15,2025-05-14 19:38:15,0.00
2025,OTD-2022-299-PEL.xml,4937,3DD.003E16CE6E,11H,,ROBU,PELTON,489,2023-04-05,DSF,2025-05-15 04:30:44,A ,770.90,,2025-05-15 04:30:44,2025-05-15 04:30:44,0.00
2025,OTD-2023-297-pel.xml,4875,3DD.003E43F4AE,11H,,ROBU,PELTON,489,2024-04-09,DSF,2025-05-15 18:52:06,A ,401.41,,2025-05-15 18:52:06,2025-05-15 18:52:06,0.00
2025,OTD-2022-305-PEL.xml,4777,3DD.003E16F276,11H,,ROBU,PELTON,489,2023-04-05,DSF,2025-05-16 18:54:29,A ,772.50,,2025-05-16 18:54:29,2025-05-16 18:54:29,0.00
