Year,Tag File,NFish,Tag ID,SpRRT,Length,Mark Site,Release Site,Total RKM,Release Date,Obs Site,Obs Time,Stage,Travel Days,NotFirst,Min Time,Max Time,Location Days
2015,JCL12076.WST,52,3D9.1C2C60BB49,11W,94,WARMSR,WARMSR,464,2012-03-16,WSH,2015-04-28 22:43:36,A ,1138.45,,2015-04-28 22:43:36,2015-04-30 18:01:12,1.80
2015,JCL12299.WST,49,3D9.1C2DE8CCE6,11W,103,WARMSR,WARMSR,464,2012-10-25,WSH,2015-05-03 00:44:48,A ,919.50,,2015-05-03 00:44:48,2015-05-29 04:09:46,26.14
2015,JCL13081.WST,191,3D9.1C2DE7AC03,11W,111,WARMSR,WARMSR,464,2013-03-22,WSH,2015-05-05 00:35:21,A ,773.52,,2015-05-05 00:35:21,2015-06-17 11:58:50,43.47
2015,JCL13078.WST,126,3D9.1C2DE907A1,11W,106,WARMSR,WARMSR,464,2013-03-19,WSH,2015-05-07 02:48:26,A ,778.49,,2015-05-07 02:48:26,2015-05-09 18:15:17,2.64
2015,JCL13081.WST,191,3D9.1C2DE8977D,11W,116,WARMSR,WARMSR,464,2013-03-22,WSH,2015-05-09 16:35:20,A ,778.19,,2015-05-09 16:35:20,2015-05-09 20:40:46,0.17
2015,JCL13078.WST,126,3D9.1C2DE849D9,11W,106,WARMSR,WARMSR,464,2013-03-19,WSH,2015-05-23 16:53:19,A ,795.08,,2015-05-23 16:53:19,2015-05-23 16:53:19,0.00
2015,JCL13072.WST,10,3D9.1C2DE95D68,11W,97,WARMSR,WARMSR,464,2013-03-13,WSH,2015-05-25 21:08:01,A ,803.28,,2015-05-25 21:08:01,2015-05-27 19:55:42,1.95
2015,JCL13073.WST,46,3D9.1C2DE8FAC1,11W,106,WARMSR,WARMSR,464,2013-03-14,WSH,2015-05-27 02:10:43,A ,803.62,,2015-05-27 02:10:43,2015-05-27 02:10:44,0.00
2015,JCL13084.WST,22,3D9.1C2DE7F2CA,11W,100,WARMSR,WARMSR,464,2013-03-25,WSH,2015-05-29 17:29:56,A ,795.27,,2015-05-29 17:29:56,2015-05-29 18:18:29,0.03
2015,JCL13079.WST,37,3D9.1C2DE8E976,11W,105,WARMSR,WARMSR,464,2013-03-20,WSH,2015-09-01 22:35:13,A ,895.45,,2015-09-01 22:35:13,2015-09-01 22:51:31,0.01
2015,JCL14132.WSH,23,3D9.1C2E047DB6,11W,122,WARMSR,WARMSR,464,2014-05-12,WSH,2015-09-25 22:24:25,A ,501.35,,2015-09-25 22:24:25,2015-09-25 23:00:23,0.02
2015,JCL14133.WSH,24,3D9.1C2E0358E0,11W,127,WARMSR,WARMSR,464,2014-05-13,WSH,2015-10-07 21:08:14,A ,512.39,,2015-10-07 21:08:14,2015-10-07 21:08:14,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF84F6B,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-04-19 02:58:59,A ,747.75,,2015-04-19 02:58:59,2015-04-21 20:44:10,2.74
2015,JAR13037.WS4,3275,3D9.1C2DF309BD,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-04-21 17:37:43,A ,750.36,,2015-04-21 17:37:43,2015-04-26 17:14:11,4.98
2015,JAR13037.WS4,3275,3D9.1C2DF3208E,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-04-26 05:01:50,A ,754.83,,2015-04-26 05:01:50,2015-04-26 06:38:23,0.07
2015,JAR13036.WS2,2576,3D9.1C2DEFB067,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-04-26 22:54:36,A ,755.58,,2015-04-26 22:54:36,2015-04-26 22:54:36,0.00
2015,JAR12031.WS4,3638,3D9.1C2DD6B354,11H,147,WSPH,WSPH,479,2012-04-02,WSH,2015-04-27 16:03:32,A ,1120.29,,2015-04-27 16:03:32,2015-04-27 16:03:32,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF29502,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-04-28 02:49:16,A ,756.74,,2015-04-28 02:49:16,2015-04-28 04:30:09,0.07
2015,JAR13036.WS1,4851,3D9.1C2DEFD3E8,11H,95,WSPH,WSPH,479,2013-04-01,WSH,2015-04-29 17:09:15,A ,758.34,,2015-04-29 17:09:15,2015-04-29 17:09:16,0.00
2015,JAR13036.WS2,2576,3D9.1C2DF2597A,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-04-30 06:25:21,A ,758.89,,2015-04-30 06:25:21,2015-04-30 07:04:36,0.03
2015,JAR13037.WS3,4175,3D9.1C2DF236F7,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-04-30 09:03:25,A ,759.00,,2015-04-30 09:03:25,2015-04-30 09:03:26,0.00
2015,JAR13037.WS4,3275,3D9.1C2DF1FF6A,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-04-30 22:16:32,A ,759.55,,2015-04-30 22:16:32,2015-05-01 18:13:14,0.83
2015,JAR13037.WS4,3275,3D9.1C2DF2245F,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-04-30 22:43:45,A ,759.57,,2015-04-30 22:43:45,2015-05-01 18:45:30,0.83
2015,JAR13037.WS4,3275,3D9.1C2DF3093E,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-01 16:29:43,A ,760.31,,2015-05-01 16:29:43,2015-05-01 17:11:20,0.03
2015,JAR13037.WS3,4175,3D9.1C2DF2C502,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-01 23:41:59,A ,760.61,,2015-05-01 23:41:59,2015-05-02 00:12:34,0.02
2015,JAR13037.WS4,3275,3D9.1C2DF2D025,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-02 05:50:07,A ,760.87,,2015-05-02 05:50:07,2015-05-02 05:50:07,0.00
2015,JAR13036.WS2,2576,3D9.1C2DF23E86,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-03 05:06:59,A ,761.84,,2015-05-03 05:06:59,2015-05-03 11:59:14,0.29
2015,JAR13037.WS3,4175,3D9.1C2DF350E0,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-04 01:17:41,A ,762.68,,2015-05-04 01:17:41,2015-05-04 17:23:22,0.67
2015,JAR13036.WS1,4851,3D9.1C2DF2771D,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-04 03:46:31,A ,762.78,,2015-05-04 03:46:31,2015-05-04 17:43:27,0.58
2015,JAR13037.WS4,3275,3D9.1C2DF2A160,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-04 12:47:20,A ,763.16,,2015-05-04 12:47:20,2015-05-04 15:02:24,0.09
2015,JAR13036.WS1,4851,3D9.1C2DF1D7DD,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-04 14:19:43,A ,763.22,,2015-05-04 14:19:43,2015-05-04 15:24:13,0.04
2015,JAR13037.WS4,3275,3D9.1C2DF20074,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-04 14:49:22,A ,763.24,,2015-05-04 14:49:22,2015-05-04 17:31:18,0.11
2015,JAR13037.WS4,3275,3D9.1C2DF30A68,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-04 18:20:42,A ,763.39,,2015-05-04 18:20:42,2015-05-04 18:20:42,0.00
2015,JAR13036.WS1,4851,3D9.1C2DF21855,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-04 20:06:44,A ,763.46,,2015-05-04 20:06:44,2015-05-04 20:06:44,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF2073B,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-05 02:57:05,A ,763.75,,2015-05-05 02:57:05,2015-08-28 18:23:40,115.64
2015,JAR13037.WS3,4175,3D9.1C2DF378E1,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-05 03:55:47,A ,763.79,,2015-05-05 03:55:47,2015-05-05 03:55:47,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF37AD0,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-05 18:18:24,A ,764.39,,2015-05-05 18:18:24,2015-05-05 18:18:24,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF85D45,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-05 18:19:45,A ,764.39,,2015-05-05 18:19:45,2015-05-05 18:19:46,0.00
2015,JAR13037.WS4,3275,3D9.1C2DF242AC,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-06 05:45:24,A ,764.86,,2015-05-06 05:45:24,2015-05-06 16:10:38,0.43
2015,JAR13037.WS4,3275,3D9.1C2DF32981,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-06 14:44:18,A ,765.24,,2015-05-06 14:44:18,2015-05-06 14:44:18,0.00
2015,JAR13036.WS1,4851,3D9.1C2DF2F5E4,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-07 02:44:06,A ,765.74,,2015-05-07 02:44:06,2015-05-08 17:12:02,1.60
2015,JAR13037.WS3,4175,3D9.1C2DF375C9,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-07 16:31:13,A ,766.31,,2015-05-07 16:31:13,2015-05-07 16:31:13,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF36076,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-07 16:50:21,A ,766.33,,2015-05-07 16:50:21,2015-05-07 16:50:21,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF37AAB,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-07 19:25:46,A ,766.43,,2015-05-07 19:25:46,2015-05-07 19:25:46,0.00
2015,JAR13036.WS2,2576,3D9.1C2DF281AD,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-08 14:15:59,A ,767.22,,2015-05-08 14:15:59,2015-05-08 14:50:12,0.02
2015,JAR13037.WS3,4175,3D9.1C2DF3204E,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-08 16:37:31,A ,767.32,,2015-05-08 16:37:31,2015-05-08 16:41:06,0.00
2015,JAR13036.WS1,4851,3D9.1C2DF33712,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-08 17:35:09,A ,767.36,,2015-05-08 17:35:09,2015-05-09 15:05:03,0.90
2015,JAR13037.WS4,3275,3D9.1C2DF36CCF,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-08 18:12:56,A ,767.38,,2015-05-08 18:12:56,2015-06-07 14:06:31,29.83
2015,JAR13037.WS4,3275,3D9.1C2DF2AA37,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-09 01:37:51,A ,767.69,,2015-05-09 01:37:51,2015-05-09 02:08:45,0.02
2015,JAR13036.WS1,4851,3D9.1C2DF1C569,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-09 02:19:11,A ,767.72,,2015-05-09 02:19:11,2015-05-30 17:10:27,21.62
2015,JAR13037.WS4,3275,3D9.1C2DF1F131,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-09 04:06:42,A ,767.80,,2015-05-09 04:06:42,2015-05-09 11:08:45,0.29
2015,JAR13037.WS4,3275,3D9.1C2DF29CC1,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-09 05:09:31,A ,767.84,,2015-05-09 05:09:31,2015-05-10 17:34:26,1.52
2015,JAR13037.WS4,3275,3D9.1C2DF37B23,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-09 17:32:07,A ,768.36,,2015-05-09 17:32:07,2015-05-11 13:07:14,1.82
2015,JAR13037.WS3,4175,3D9.1C2DF32090,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-10 06:16:59,A ,768.89,,2015-05-10 06:16:59,2015-05-10 12:50:34,0.27
2015,JAR13037.WS3,4175,3D9.1C2DF1DC46,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-10 12:19:44,A ,769.14,,2015-05-10 12:19:44,2015-05-10 12:19:44,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF2F5ED,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-10 12:22:07,A ,769.14,,2015-05-10 12:22:07,2015-06-03 21:49:29,24.39
2015,JAR13037.WS3,4175,3D9.1C2DF26CDB,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-10 12:52:51,A ,769.16,,2015-05-10 12:52:51,2015-05-10 12:52:51,0.00
2015,JAR13037.WS4,3275,3D9.1C2DF2B988,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-10 17:32:14,A ,769.36,,2015-05-10 17:32:14,2015-05-10 17:32:14,0.00
2015,JAR13036.WS2,2576,3D9.1C2DF396AC,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-11 03:32:10,A ,769.77,,2015-05-11 03:32:10,2015-05-11 03:32:10,0.00
2015,JAR13037.WS4,3275,3D9.1C2DF25414,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-11 04:50:23,A ,769.83,,2015-05-11 04:50:23,2015-05-11 04:50:23,0.00
2015,JAR13037.WS4,3275,3D9.1C2DF2D74E,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-11 05:22:48,A ,769.85,,2015-05-11 05:22:48,2015-05-11 05:22:48,0.00
2015,JAR13037.WS3,4175,3D9.1C2DF308F8,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-11 07:17:22,A ,769.93,,2015-05-11 07:17:22,2015-05-11 15:18:13,0.33
2015,JAR13036.WS2,2576,3D9.1C2DF2683B,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-11 13:46:07,A ,770.20,,2015-05-11 13:46:07,2015-05-11 13:46:07,0.00
2015,JAR13036.WS2,2576,3D9.1C2DF35DF8,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-11 18:27:30,A ,770.39,,2015-05-11 18:27:30,2015-06-04 19:00:30,24.02
2015,JAR13037.WS3,4175,3D9.1C2DF31120,11H,,WSPH,WSPH,479,2013-04-01,WSH,2015-05-13 00:27:11,A ,771.64,,2015-05-13 00:27:11,2015-05-17 17:18:09,4.70
