Year,Tag File,NFish,Tag ID,SpRRT,Length,Mark Site,Release Site,Total RKM,Release Date,Obs Site,Obs Time,Stage,Travel Days,NotFirst,Min Time,Max Time,Location Days
2023,OTD-2020-302-001.XML,4954,3DD.003D8ABD74,11H,,ROBU,PELTON,489,2021-04-08,WSR,2023-05-28 03:17:47,A ,779.43,,2023-05-28 03:17:47,2023-05-28 03:17:47,0.00
2023,OTD-2020-302-001.XML,4954,3DD.003D8AB8F2,11H,,ROBU,PELTON,489,2021-04-08,WSR,2023-09-05 09:06:20,A ,879.67,,2023-09-05 09:06:20,2023-09-05 09:06:20,0.00
2023,WSF-2020-302-WSH.XML.DART1,202,3DD.0077ADBFA4,11W,90,WARMSR,WARMSR,482,2020-10-28,WSR,2023-05-08 11:56:13,A ,922.08,,2023-05-08 11:56:13,2023-05-08 11:56:13,0.00
2023,JAR-2021-033-WS2.XML,3746,3DD.003D6A4462,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-10 05:19:58,A ,761.89,,2023-05-10 05:19:58,2023-05-10 12:46:30,0.31
2023,JAR-2021-032-WS1.XML,3747,3DD.003D6A1DCD,11H,120,WSPH,WSPH,479,2021-04-08,WSR,2023-05-10 19:07:45,A ,762.46,,2023-05-10 19:07:45,2023-05-10 19:07:45,0.00
2023,JAR-2021-032-WS1.XML,3747,3DD.003D6A1E91,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-11 18:44:34,A ,763.45,,2023-05-11 18:44:34,2023-05-11 18:44:34,0.00
2023,JAR-2021-032-WS1.XML,3747,3DD.003D6A23E7,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-12 16:45:19,A ,764.36,,2023-05-12 16:45:19,2023-05-12 16:45:19,0.00
2023,JAR-2021-033-WS2.XML,3746,3DD.003D6A26CE,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-13 14:08:21,A ,765.26,,2023-05-13 14:08:21,2023-05-13 14:08:21,0.00
2023,JAR-2021-034-WS4.XML,3749,3DD.003D6A2F34,11H,132,WSPH,WSPH,479,2021-04-08,WSR,2023-05-14 19:15:12,A ,766.47,,2023-05-14 19:15:12,2023-05-14 19:15:17,0.00
2023,JAR-2021-033-WS2.XML,3746,3DD.003D6A4245,11H,103,WSPH,WSPH,479,2021-04-08,WSR,2023-05-14 19:30:13,A ,766.48,,2023-05-14 19:30:13,2023-05-14 19:31:15,0.00
2023,JAR-2021-034-WS4.XML,3749,3DD.003D6A3328,11H,132,WSPH,WSPH,479,2021-04-08,WSR,2023-05-14 23:51:10,A ,766.66,,2023-05-14 23:51:10,2023-05-14 23:51:10,0.00
2023,JAR-2021-033-WS3.XML,3744,3DD.003D6A49D0,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-15 05:28:58,A ,766.90,,2023-05-15 05:28:58,2023-05-15 05:28:58,0.00
2023,JAR-2021-032-WS1.XML,3747,3DD.003D6A20E9,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-15 15:53:46,A ,767.33,,2023-05-15 15:53:46,2023-05-15 15:53:46,0.00
2023,JAR-2021-032-WS1.XML,3747,3DD.003D6A1734,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-15 23:24:33,A ,767.64,,2023-05-15 23:24:33,2023-05-15 23:24:33,0.00
2023,JAR-2021-033-WS3.XML,3744,3DD.003D6A4784,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-16 03:39:08,A ,767.82,,2023-05-16 03:39:08,2023-05-16 03:39:08,0.00
2023,JAR-2021-032-WS1.XML,3747,3DD.003D6A2079,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-16 15:43:28,A ,768.32,,2023-05-16 15:43:28,2023-05-16 15:43:31,0.00
2023,JAR-2021-033-WS3.XML,3744,3DD.003D6A4BC2,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-16 16:31:07,A ,768.35,,2023-05-16 16:31:07,2023-05-16 16:31:07,0.00
2023,JAR-2021-032-WS1.XML,3747,3DD.003D6A2256,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-16 19:12:48,A ,768.47,,2023-05-16 19:12:48,2023-05-16 19:12:48,0.00
2023,JAR-2021-033-WS2.XML,3746,3DD.003D6A3E9E,11H,116,WSPH,WSPH,479,2021-04-08,WSR,2023-05-17 14:26:46,A ,769.27,,2023-05-17 14:26:46,2023-05-17 14:26:47,0.00
2023,JAR-2021-034-WS4.XML,3749,3DD.003D6A358C,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-17 14:33:58,A ,769.27,,2023-05-17 14:33:58,2023-05-17 14:33:58,0.00
2023,JAR-2021-032-WS1.XML,3747,3DD.003D6A1790,11H,107,WSPH,WSPH,479,2021-04-08,WSR,2023-05-17 16:01:29,A ,769.33,,2023-05-17 16:01:29,2023-05-17 16:01:29,0.00
2023,JAR-2021-033-WS2.XML,3746,3DD.003D6A2468,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-17 23:54:03,A ,769.66,,2023-05-17 23:54:03,2023-05-17 23:55:57,0.00
2023,JAR-2021-032-WS1.XML,3747,3DD.003D6A1BB6,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-18 13:50:21,A ,770.24,,2023-05-18 13:50:21,2023-05-18 13:50:21,0.00
2023,JAR-2021-033-WS3.XML,3744,3DD.003D6A4CAA,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-19 09:33:35,A ,771.06,,2023-05-19 09:33:35,2023-05-19 09:33:35,0.00
2023,JAR-2021-033-WS3.XML,3744,3DD.003D6A45E5,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-20 06:55:08,A ,771.95,,2023-05-20 06:55:08,2023-05-20 06:55:08,0.00
2023,JAR-2021-032-WS1.XML,3747,3DD.003D6A195A,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-20 11:38:21,A ,772.15,,2023-05-20 11:38:21,2023-05-20 11:38:24,0.00
2023,JAR-2021-032-WS1.XML,3747,3DD.003D6A23BB,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-21 02:07:33,A ,772.76,,2023-05-21 02:07:33,2023-05-21 02:07:33,0.00
2023,JAR-2021-033-WS2.XML,3746,3DD.003D6A4332,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-21 06:22:08,A ,772.93,,2023-05-21 06:22:08,2023-05-21 06:22:08,0.00
2023,JAR-2021-033-WS2.XML,3746,3DD.003D6A3BA6,11H,,WSPH,WSPH,479,2021-04-08,WSR,2023-05-21 16:06:08,A ,773.34,,2023-05-21 16:06:08,2023-05-21 16:06:08,0.00
