site,date,water_year,n_reps,mean_spores_l
OS,2015-01-01,2015,3,0
OS,2015-04-07,2015,3,8.166666666666668
OS,2015-04-15,2015,3,11.566666666666666
OS,2015-04-20,2015,3,15.033333333333333
OS,2015-04-28,2015,3,371.7
OS,2015-05-04,2015,3,266.3
OS,2015-05-12,2015,3,279.26666666666665
OS,2015-05-18,2015,3,240.93333333333334
OS,2015-05-27,2015,3,155.1
OS,2015-06-03,2015,3,196.56666666666666
OS,2015-06-11,2015,3,125.23333333333333
OS,2015-06-17,2015,3,64.26666666666667
OS,2015-06-30,2015,3,132.6
OS,2015-07-16,2015,3,28.233333333333334
OS,2015-07-21,2015,3,124.86666666666667
OS,2015-07-23,2015,3,54.6
OS,2015-07-28,2015,3,20.133333333333333
OS,2015-08-04,2015,3,22.5
OS,2015-08-11,2015,3,144.46666666666667
OS,2015-08-17,2015,3,238.66666666666666
OS,2015-08-25,2015,3,186.3
OS,2015-09-01,2015,3,168.66666666666666
OS,2015-09-08,2015,3,103.13333333333333
OS,2015-09-11,2015,3,145.3
OS,2015-09-21,2015,3,196.63333333333335
OS,2015-09-28,2015,3,143.63333333333333
OS,2015-10-05,2016,3,42.03333333333333
OS,2015-10-14,2016,3,27.133333333333333
OS,2015-10-21,2016,3,5.1
OS,2015-10-27,2016,3,0.4666666666666667
OS,2015-11-09,2016,3,11.966666666666667
OS,2015-11-13,2016,3,8.333333333333334
OS,2015-11-20,2016,3,9.166666666666666
OS,2015-11-24,2016,3,4.166666666666666
OS,2016-03-09,2016,3,0.23333333333333334
OS,2016-03-14,2016,3,0.9
OS,2016-03-22,2016,3,4.533333333333333
OS,2016-03-30,2016,3,9.5
OS,2016-04-07,2016,3,29.4
OS,2016-04-13,2016,3,54.53333333333333
OS,2016-04-20,2016,3,87.33333333333333
OS,2016-04-27,2016,3,100.89999999999999
OS,2016-05-04,2016,3,86.53333333333333
OS,2016-05-10,2016,3,57.93333333333334
OS,2016-05-16,2016,3,185.06666666666666
OS,2016-05-24,2016,3,119.26666666666667
OS,2016-06-01,2016,3,184.56666666666666
OS,2016-06-07,2016,3,177.4
OS,2016-06-14,2016,3,53
OS,2016-06-20,2016,3,77.9
OS,2016-07-05,2016,3,1.2
OS,2016-07-06,2016,3,19.633333333333333
OS,2016-07-11,2016,3,29
OS,2016-07-20,2016,3,9.166666666666666
OS,2016-07-25,2016,3,44.96666666666667
OS,2016-08-01,2016,3,48.766666666666666
OS,2016-08-08,2016,3,40.233333333333334
OS,2016-08-15,2016,3,32.233333333333334
OS,2016-08-22,2016,3,48.166666666666664
OS,2016-09-06,2016,3,22.866666666666667
OS,2016-09-13,2016,3,31.366666666666664
OS,2016-09-20,2016,3,27.766666666666666
OS,2016-09-27,2016,3,11.366666666666667
OS,2016-10-04,2017,3,10.6
OS,2016-10-13,2017,3,3.566666666666667
OS,2016-10-18,2017,3,4.233333333333333
OS,2016-10-28,2017,3,1.4000000000000001
OS,2016-11-01,2017,3,1.6333333333333333
OS,2016-11-08,2017,3,2.8666666666666667
OS,2016-11-14,2017,3,2.4333333333333336
OS,2016-11-21,2017,3,1.5666666666666667
OS,2016-11-30,2017,3,2.8000000000000003
OS,2016-12-05,2017,3,5.066666666666666
OS,2016-12-13,2017,3,0
OS,2016-12-22,2017,3,0.2333333333333333
OS,2016-12-27,2017,3,0
OS,2017-01-02,2017,3,0
OS,2017-01-30,2017,3,0
OS,2017-02-10,2017,3,0
OS,2017-02-20,2017,3,0
OS,2017-03-09,2017,3,0
OS,2017-04-24,2017,3,1.4333333333333333
OS,2017-05-08,2017,3,0.5666666666666667
OS,2017-05-15,2017,3,1.1
OS,2017-08-07,2017,3,0.7000000000000001
OS,2017-08-30,2017,3,7.266666666666667
OS,2017-09-08,2017,3,1.2666666666666666
OS,2017-09-27,2017,3,0
OS,2017-10-11,2018,3,12.666666666666666
