date,site,rep,spores_l,water_year
2015-01-01,PT,1,0,2015
2015-01-01,PT,2,0,2015
2015-01-01,PT,3,0,2015
2015-04-14,PT,1,7,2015
2015-04-14,PT,2,5.3,2015
2015-04-14,PT,3,0,2015
2015-04-28,PT,1,1.4,2015
2015-04-28,PT,2,1.6,2015
2015-04-28,PT,3,0,2015
2015-05-13,PT,1,11.1,2015
2015-05-13,PT,2,3.5,2015
2015-05-13,PT,3,9.2,2015
2015-05-26,PT,1,9.4,2015
2015-05-26,PT,2,4.8,2015
2015-05-26,PT,3,6.5,2015
2015-06-09,PT,1,3.9,2015
2015-06-09,PT,2,9.2,2015
2015-06-09,PT,3,17.6,2015
2015-06-23,PT,1,18.7,2015
2015-06-23,PT,2,4.9,2015
2015-06-23,PT,3,4.5,2015
2015-07-07,PT,1,8,2015
2015-07-07,PT,2,16.7,2015
2015-07-07,PT,3,22.2,2015
2015-07-21,PT,1,4.3,2015
2015-07-21,PT,2,4.2,2015
2015-07-21,PT,3,0.9,2015
2015-08-04,PT,1,0,2015
2015-08-04,PT,2,3.8,2015
2015-08-04,PT,3,16.8,2015
2015-08-17,PT,1,0.7,2015
2015-08-17,PT,2,0.3,2015
2015-08-17,PT,3,1,2015
2015-08-31,PT,1,5.1,2015
2015-08-31,PT,2,1.6,2015
2015-08-31,PT,3,1.7,2015
2015-09-15,PT,1,0,2015
2015-09-15,PT,2,3.8,2015
2015-09-15,PT,3,3.3,2015
2015-09-29,PT,1,3.5,2015
2015-09-29,PT,2,1.1,2015
2015-09-29,PT,3,0.9,2015
2015-10-13,PT,1,3.5,2016
2015-10-13,PT,2,3.6,2016
2015-10-13,PT,3,5.1,2016
2015-10-27,PT,1,1.9,2016
2015-10-27,PT,2,2,2016
2015-10-27,PT,3,0.4,2016
2015-11-10,PT,1,0,2016
2015-11-10,PT,2,0,2016
2015-11-10,PT,3,0,2016
2015-11-24,PT,1,0,2016
2015-11-24,PT,2,0.6,2016
2015-11-24,PT,3,0.4,2016
2016-03-08,PT,1,0,2016
2016-03-08,PT,2,0.6,2016
2016-03-08,PT,3,0,2016
2016-03-22,PT,1,0.2,2016
2016-03-22,PT,2,0,2016
2016-03-22,PT,3,0,2016
2016-04-05,PT,1,0.7,2016
2016-04-05,PT,2,0,2016
2016-04-05,PT,3,0.8,2016
2016-05-03,PT,1,3.6,2016
2016-05-03,PT,2,0.7,2016
2016-05-03,PT,3,1.7,2016
2016-05-17,PT,1,8.1,2016
2016-05-17,PT,2,2.3,2016
2016-05-17,PT,3,0,2016
2016-05-31,PT,1,0,2016
2016-05-31,PT,2,0,2016
2016-05-31,PT,3,0,2016
2016-06-07,PT,1,0,2016
2016-06-07,PT,2,0,2016
2016-06-07,PT,3,2.7,2016
2016-06-14,PT,1,0.5,2016
2016-06-14,PT,2,0,2016
2016-06-14,PT,3,2.6,2016
2016-06-28,PT,1,15.9,2016
2016-06-28,PT,2,2.2,2016
2016-06-28,PT,3,6.3,2016
2016-07-12,PT,1,8,2016
2016-07-12,PT,2,2.8,2016
2016-07-12,PT,3,8.9,2016
2016-07-26,PT,1,5,2016
2016-07-26,PT,2,13.4,2016
2016-07-26,PT,3,11.9,2016
2017-04-04,PT,1,1,2017
2017-04-04,PT,2,0,2017
2017-04-04,PT,3,0,2017
2017-04-18,PT,1,0,2017
2017-04-18,PT,2,0,2017
2017-04-18,PT,3,0.1,2017
2017-05-02,PT,1,0,2017
2017-05-02,PT,2,0.2,2017
2017-05-02,PT,3,0.1,2017
2017-05-16,PT,1,0.7,2017
2017-05-16,PT,2,1.5,2017
2017-05-16,PT,3,3.2,2017
2017-05-30,PT,1,0.6,2017
2017-05-30,PT,2,0.3,2017
2017-05-30,PT,3,1.9,2017
2017-06-13,PT,1,16.7,2017
2017-06-13,PT,2,3.8,2017
2017-06-13,PT,3,1.6,2017
2017-06-27,PT,1,0.2,2017
2017-06-27,PT,2,0.8,2017
2017-06-27,PT,3,5.8,2017
