date,site,sample,cs spl
1/1/2015,OS,1,0
1/1/2015,OS,2,0
1/1/2015,OS,3,0
4/7/2015,OS,1,13.4
4/7/2015,OS,2,6.4
4/7/2015,OS,3,4.7
4/15/2015,OS,1,13.6
4/15/2015,OS,2,10.8
4/15/2015,OS,3,10.3
4/20/2015,OS,1,18.6
4/20/2015,OS,2,18.2
4/20/2015,OS,3,8.3
4/28/2015,OS,1,302.4
4/28/2015,OS,2,375.2
4/28/2015,OS,3,437.5
5/4/2015,OS,1,271.3
5/4/2015,OS,2,175.3
5/4/2015,OS,3,352.3
5/12/2015,OS,1,323.8
5/12/2015,OS,2,220.9
5/12/2015,OS,3,293.1
5/18/2015,OS,1,245.4
5/18/2015,OS,2,261.3
5/18/2015,OS,3,216.1
5/27/2015,OS,1,164
5/27/2015,OS,2,78.5
5/27/2015,OS,3,222.8
6/3/2015,OS,1,270.9
6/3/2015,OS,2,196.8
6/3/2015,OS,3,122
6/11/2015,OS,1,156.4
6/11/2015,OS,2,94.4
6/11/2015,OS,3,124.9
6/17/2015,OS,1,125.5
6/17/2015,OS,2,14.9
6/17/2015,OS,3,52.4
6/30/2015,OS,1,81.1
6/30/2015,OS,2,134.3
6/30/2015,OS,3,182.4
7/16/2015,OS,1,12.3
7/16/2015,OS,2,33.2
7/16/2015,OS,3,39.2
7/21/2015,OS,1,263.1
7/21/2015,OS,2,64
7/21/2015,OS,3,47.5
7/23/2015,OS,1,52.4
7/23/2015,OS,2,43.2
7/23/2015,OS,3,68.2
7/28/2015,OS,1,24.9
7/28/2015,OS,2,23.6
7/28/2015,OS,3,11.9
8/4/2015,OS,1,26.4
8/4/2015,OS,2,21.9
8/4/2015,OS,3,19.2
8/11/2015,OS,1,187.9
8/11/2015,OS,2,165.9
8/11/2015,OS,3,79.6
8/17/2015,OS,1,198
8/17/2015,OS,2,293.2
8/17/2015,OS,3,224.8
8/25/2015,OS,1,190.4
8/25/2015,OS,2,241.4
8/25/2015,OS,3,127.1
9/1/2015,OS,1,84.5
9/1/2015,OS,2,149.5
9/1/2015,OS,3,272
9/8/2015,OS,1,266
9/8/2015,OS,2,22.2
9/8/2015,OS,3,21.2
9/11/2015,OS,1,157.5
9/11/2015,OS,2,193.6
9/11/2015,OS,3,84.8
9/21/2015,OS,1,149
9/21/2015,OS,2,282.1
9/21/2015,OS,3,158.8
9/28/2015,OS,1,79.3
9/28/2015,OS,2,157.9
9/28/2015,OS,3,193.7
10/5/2015,OS,1,45.3
10/5/2015,OS,2,22.3
10/5/2015,OS,3,58.5
10/14/2015,OS,1,28.4
10/14/2015,OS,2,14.1
10/14/2015,OS,3,38.9
10/21/2015,OS,1,13.6
10/21/2015,OS,2,0.4
10/21/2015,OS,3,1.3
10/27/2015,OS,1,1.6
10/27/2015,OS,2,-0.1
10/27/2015,OS,3,-0.1
11/9/2015,OS,1,11.2
11/9/2015,OS,2,14
11/9/2015,OS,3,10.7
11/13/2015,OS,1,7.6
11/13/2015,OS,2,6.1
11/13/2015,OS,3,11.3
11/20/2015,OS,1,8.1
11/20/2015,OS,2,13.4
11/20/2015,OS,3,6
11/24/2015,OS,1,7.1
11/24/2015,OS,2,1.5
11/24/2015,OS,3,3.9
3/9/2016,OS,1,0
3/9/2016,OS,2,0.5
3/9/2016,OS,3,0.2
3/14/2016,OS,1,1.7
3/14/2016,OS,2,1
3/14/2016,OS,3,0
3/22/2016,OS,1,4.5
3/22/2016,OS,2,0
3/22/2016,OS,3,9.1
3/30/2016,OS,1,14.6
3/30/2016,OS,2,7.3
3/30/2016,OS,3,6.6
4/7/2016,OS,1,10.9
4/7/2016,OS,2,22
4/7/2016,OS,3,55.3
4/13/2016,OS,1,73.8
4/13/2016,OS,2,44.5
4/13/2016,OS,3,45.3
4/20/2016,OS,1,58.3
4/20/2016,OS,2,97.1
4/20/2016,OS,3,106.6
4/27/2016,OS,1,128.1
4/27/2016,OS,2,96.1
4/27/2016,OS,3,78.5
5/4/2016,OS,1,104.4
5/4/2016,OS,2,87
5/4/2016,OS,3,68.2
5/10/2016,OS,1,44.2
5/10/2016,OS,2,50.7
5/10/2016,OS,3,78.9
5/16/2016,OS,1,274.4
5/16/2016,OS,2,153.8
5/16/2016,OS,3,127
5/24/2016,OS,1,145
5/24/2016,OS,2,85.8
5/24/2016,OS,3,127
6/1/2016,OS,1,117.5
6/1/2016,OS,2,181.6
6/1/2016,OS,3,254.6
6/7/2016,OS,1,166.2
6/7/2016,OS,2,179.8
6/7/2016,OS,3,186.2
6/14/2016,OS,1,41.6
6/14/2016,OS,2,53.1
6/14/2016,OS,3,64.3
6/20/2016,OS,1,70
6/20/2016,OS,2,61.6
6/20/2016,OS,3,102.1
7/5/2016,OS,1,0
7/5/2016,OS,2,0.7
7/5/2016,OS,3,2.9
7/6/2016,OS,1,15.1
7/6/2016,OS,2,12.1
7/6/2016,OS,3,31.7
7/11/2016,OS,1,22.9
7/11/2016,OS,2,21.1
7/11/2016,OS,3,43
7/20/2016,OS,1,4
7/20/2016,OS,2,10.3
7/20/2016,OS,3,13.2
7/25/2016,OS,1,79.6
7/25/2016,OS,2,33.2
7/25/2016,OS,3,22.1
8/1/2016,OS,1,35.9
8/1/2016,OS,2,55
8/1/2016,OS,3,55.4
8/8/2016,OS,1,60.2
8/8/2016,OS,2,47.3
8/8/2016,OS,3,13.2
8/15/2016,OS,1,12
8/15/2016,OS,2,26.9
8/15/2016,OS,3,57.8
8/22/2016,OS,1,50.6
8/22/2016,OS,2,52.8
8/22/2016,OS,3,41.1
9/6/2016,OS,1,18.2
9/6/2016,OS,2,35.8
9/6/2016,OS,3,14.6
9/13/2016,OS,1,36.3
9/13/2016,OS,2,34.9
9/13/2016,OS,3,22.9
9/20/2016,OS,1,16.5
9/20/2016,OS,2,28.8
9/20/2016,OS,3,38
9/27/2016,OS,1,11.8
9/27/2016,OS,2,13.5
9/27/2016,OS,3,8.8
10/4/2016,OS,1,12.8
10/4/2016,OS,2,8.8
10/4/2016,OS,3,10.2
10/13/2016,OS,1,4.2
10/13/2016,OS,2,4.3
10/13/2016,OS,3,2.2
10/18/2016,OS,1,4.1
10/18/2016,OS,2,4.3
10/18/2016,OS,3,4.3
10/28/2016,OS,1,2.1
10/28/2016,OS,2,1.3
10/28/2016,OS,3,0.8
11/1/2016,OS,1,2.3
11/1/2016,OS,2,1.1
11/1/2016,OS,3,1.5
11/8/2016,OS,1,3.4
11/8/2016,OS,2,2.3
11/8/2016,OS,3,2.9
11/14/2016,OS,1,2.2
11/14/2016,OS,2,2.6
11/14/2016,OS,3,2.5
11/21/2016,OS,1,1.7
11/21/2016,OS,2,2
11/21/2016,OS,3,1
11/30/2016,OS,1,1.3
11/30/2016,OS,2,4.4
11/30/2016,OS,3,2.7
12/5/2016,OS,1,9.2
12/5/2016,OS,2,3.2
12/5/2016,OS,3,2.8
12/13/2016,OS,1,0
12/13/2016,OS,2,0
12/13/2016,OS,3,0
12/22/2016,OS,1,0
12/22/2016,OS,2,0
12/22/2016,OS,3,0.7
12/27/2016,OS,1,0
12/27/2016,OS,2,0
12/27/2016,OS,3,0
1/2/2017,OS,1,0
1/2/2017,OS,2,0
1/2/2017,OS,3,0
1/30/2017,OS,1,0
1/30/2017,OS,2,0
1/30/2017,OS,3,0
2/10/2017,OS,1,0
2/10/2017,OS,2,0
2/10/2017,OS,3,0
2/20/2017,OS,1,0
2/20/2017,OS,2,0
2/20/2017,OS,3,0
3/9/2017,OS,1,0
3/9/2017,OS,2,0
3/9/2017,OS,3,0
4/24/2017,OS,1,1.3
4/24/2017,OS,2,2.6
4/24/2017,OS,3,0.4
5/8/2017,OS,1,1.5
5/8/2017,OS,2,0.2
5/8/2017,OS,3,0
5/15/2017,OS,1,1.4
5/15/2017,OS,2,0.8
5/15/2017,OS,3,1.1
8/7/2017,OS,1,0
8/7/2017,OS,2,2.1
8/7/2017,OS,3,0
8/30/2017,OS,1,4.5
8/30/2017,OS,2,8.3
8/30/2017,OS,3,9
9/8/2017,OS,1,1.6
9/8/2017,OS,2,1.8
9/8/2017,OS,3,0.4
9/27/2017,OS,1,0
9/27/2017,OS,2,0
9/27/2017,OS,3,0
10/11/2017,OS,1,1.5
10/11/2017,OS,2,13.2
10/11/2017,OS,3,23.3
10/19/2017,OS,1,15.3
10/19/2017,OS,2,11.9
10/19/2017,OS,3,6.2
3/6/2018,OS,1,0
3/6/2018,OS,2,0
3/6/2018,OS,3,0
3/20/2018,OS,1,0.3
3/20/2018,OS,2,0
3/20/2018,OS,3,0.5
4/3/2018,OS,1,0.6
4/3/2018,OS,2,0.2
4/3/2018,OS,3,0.7
4/17/2018,OS,1,2.2
4/17/2018,OS,2,1.3
4/17/2018,OS,3,1.1
5/2/2018,OS,1,6.5
5/2/2018,OS,2,5.5
5/2/2018,OS,3,5.2
5/15/2018,OS,1,30.9
5/15/2018,OS,2,36.1
5/15/2018,OS,3,41.2
5/29/2018,OS,1,39.7
5/29/2018,OS,2,64.7
5/29/2018,OS,3,81.6
6/5/2018,OS,1,101.1
6/5/2018,OS,2,77.3
6/5/2018,OS,3,62.8
6/13/2018,OS,1,45.5
6/13/2018,OS,2,19.9
6/13/2018,OS,3,44.1
6/27/2018,OS,1,10
6/27/2018,OS,2,9.8
6/27/2018,OS,3,6.9
7/10/2018,OS,1,87.1
7/10/2018,OS,2,158.3
7/10/2018,OS,3,57.8
7/26/2018,OS,1,0
7/26/2018,OS,2,0.5
7/26/2018,OS,3,0
8/14/2018,OS,1,18.2
8/14/2018,OS,2,15.6
8/14/2018,OS,3,29.7
8/29/2018,OS,1,1.1
8/29/2018,OS,2,0.3
8/29/2018,OS,3,0
9/11/2018,OS,1,0.5
9/11/2018,OS,2,1.9
9/11/2018,OS,3,3.2
9/25/2018,OS,1,4.2
9/25/2018,OS,2,9
9/25/2018,OS,3,4.6
10/10/2018,OS,1,0.9
10/10/2018,OS,2,0.1
10/10/2018,OS,3,0.2
10/30/2018,OS,1,0
10/30/2018,OS,2,0
10/30/2018,OS,3,0
12/31/2018,OS,1,0
12/31/2018,OS,2,0
12/31/2018,OS,3,0
4/1/2019,OS,1,0
4/1/2019,OS,2,1.110138
4/1/2019,OS,3,0
4/12/2019,OS,1,2.095932
4/12/2019,OS,2,0
4/12/2019,OS,3,0
4/23/2019,OS,1,2.927447
4/23/2019,OS,2,1.640785
4/23/2019,OS,3,2.629294
5/7/2019,OS,1,5.912091
5/7/2019,OS,2,8.000434
5/7/2019,OS,3,7.087213
5/23/2019,OS,1,0
5/23/2019,OS,2,0
5/23/2019,OS,3,0
6/4/2019,OS,1,0.053118
6/4/2019,OS,2,2.517614
6/4/2019,OS,3,10.67272
7/2/2019,OS,1,4.718314
7/2/2019,OS,2,5.018265
7/2/2019,OS,3,6.514545
7/16/2019,OS,1,10.53335
7/16/2019,OS,2,12.91965
7/16/2019,OS,3,7.110178
8/1/2019,OS,1,2
8/1/2019,OS,2,0
8/1/2019,OS,3,0
8/13/2019,OS,1,2
8/13/2019,OS,2,1
8/13/2019,OS,3,1
8/26/2019,OS,1,0
8/26/2019,OS,2,0
8/26/2019,OS,3,0
9/1/2019,OS,1,0
9/1/2019,OS,2,0
9/1/2019,OS,3,0
10/3/2019,OS,1,1
10/3/2019,OS,2,0
10/3/2019,OS,3,1
10/24/2019,OS,1,0
10/24/2019,OS,2,0
10/24/2019,OS,3,0
10/30/2019,OS,1,0
10/30/2019,OS,2,1
10/30/2019,OS,3,0
3/6/2020,OS,1,0
3/6/2020,OS,2,9
3/6/2020,OS,3,2
3/17/2020,OS,1,12
3/17/2020,OS,2,9
3/17/2020,OS,3,4
3/31/2020,OS,1,0
3/31/2020,OS,2,12
3/31/2020,OS,3,0
4/14/2020,OS,1,25
4/14/2020,OS,2,15
4/14/2020,OS,3,15
4/29/2020,OS,1,54
4/29/2020,OS,2,24
4/29/2020,OS,3,0
5/12/2020,OS,1,210
5/12/2020,OS,2,165
5/12/2020,OS,3,48
5/26/2020,OS,1,149
5/26/2020,OS,2,0
5/26/2020,OS,3,0
6/9/2020,OS,1,74
6/9/2020,OS,2,173
where is rest of 2020,,,
4/14/2021,OS,1,3
4/14/2021,OS,2,4
4/14/2021,OS,3,0
4/27/2021,OS,1,14
4/27/2021,OS,2,0
4/27/2021,OS,3,24
5/11/2021,OS,1,75
5/11/2021,OS,2,59
5/11/2021,OS,3,55
5/25/2021,OS,1,53
5/25/2021,OS,2,54
5/25/2021,OS,3,53
6/8/2021,OS,1,54
6/8/2021,OS,2,53
6/8/2021,OS,3,53
6/22/2021,OS,1,57
6/22/2021,OS,2,55
6/22/2021,OS,3,54
7/6/2021,OS,1,55
7/6/2021,OS,2,54
7/6/2021,OS,3,55
7/20/2021,OS,1,57
7/20/2021,OS,2,57
7/20/2021,OS,3,55
8/3/2021,OS,1,58
8/3/2021,OS,2,57
8/3/2021,OS,3,58
8/16/2021,OS,1,59
8/16/2021,OS,2,58
8/16/2021,OS,3,59
8/30/2021,OS,1,57
8/30/2021,OS,2,59
8/30/2021,OS,3,59
9/13/2021,OS,1,63
9/13/2021,OS,2,61
9/13/2021,OS,3,59
9/28/2021,OS,1,6
9/28/2021,OS,2,11
9/28/2021,OS,3,16
10/12/2021,OS,1,2
10/12/2021,OS,2,8
10/12/2021,OS,3,4
10/26/2021,OS,1,12
10/26/2021,OS,2,5
10/26/2021,OS,3,10
3/8/2022,OS,1,0
3/8/2022,OS,2,0
3/8/2022,OS,3,0
3/22/2022,OS,1,0
3/22/2022,OS,2,0
3/22/2022,OS,3,.
4/5/2022,OS,1,1
4/5/2022,OS,2,2
4/5/2022,OS,3,0
4/19/2022,OS,1,13
4/19/2022,OS,2,18
4/19/2022,OS,3,7
5/3/2022,OS,1,14
5/3/2022,OS,2,39
5/3/2022,OS,3,37
5/16/2022,OS,1,39
5/16/2022,OS,2,25
5/16/2022,OS,3,28
5/31/2022,OS,1,23
5/31/2022,OS,2,24
5/31/2022,OS,3,34
6/14/2022,OS,1,37
6/14/2022,OS,2,42
6/14/2022,OS,3,44
6/28/2022,OS,1,15
6/28/2022,OS,2,22
6/28/2022,OS,3,8
7/12/2022,OS,1,30
7/12/2022,OS,2,28
7/12/2022,OS,3,0
7/26/2022,OS,1,37
7/26/2022,OS,2,31
7/26/2022,OS,3,20
8/8/2022,OS,1,45
8/8/2022,OS,2,0
8/8/2022,OS,3,0
8/22/2022,OS,1,8
8/22/2022,OS,2,14
8/22/2022,OS,3,9
9/7/2022,OS,1,16
9/7/2022,OS,2,7
9/7/2022,OS,3,5
9/20/2022,OS,1,5
9/20/2022,OS,2,4
9/20/2022,OS,3,3
10/4/2022,OS,1,14
10/4/2022,OS,2,12
10/4/2022,OS,3,4
10/18/2022,OS,1,0
10/18/2022,OS,2,2
10/18/2022,OS,3,14
3/7/2023,OS,1,0.25
3/7/2023,OS,2,0
3/7/2023,OS,3,0
3/21/2023,OS,1,0.52
3/21/2023,OS,2,0
3/21/2023,OS,3,0
4/4/2023,OS,1,0.95
4/4/2023,OS,2,1.01
4/4/2023,OS,3,1.07
4/19/2023,OS,1,0.68
4/19/2023,OS,2,4.07
4/19/2023,OS,3,3.01
not collected - high flows,,,
6/13/2023,OS,1,82.21
6/13/2023,OS,2,77.81
6/13/2023,OS,3,85.27
6/27/2023,OS,1,16.64
6/27/2023,OS,2A,14.62
6/27/2023,OS,2B,11.15
6/27/2023,OS,3A,16.89
6/27/2023,OS,3B,9.99
7/11/2023,OS,1A,12.25
7/11/2023,OS,1B,6.63
7/11/2023,OS,2A,23.89
7/11/2023,OS,2B,6.88
7/11/2023,OS,3A,10.62
7/11/2023,OS,3B,17.69
7/25/2023,OS,1,18.52
7/25/2023,OS,2,8.07
7/25/2023,OS,3,21.81
8/8/2023,OS,1,12.46
8/8/2023,OS,2,6.97
8/8/2023,OS,3,9.07
8/21/2023,OS,1,7.72
8/21/2023,OS,2,6.72
8/21/2023,OS,3,8.89
9/19/2023,OS,1,6.68
9/19/2023,OS,2A,9.95
9/19/2023,OS,2B,5.8
9/19/2023,OS,3A,10.26
9/19/2023,OS,3B,2.47
10/3/2023,OS,1,1.89
10/3/2023,OS,2,4.38
10/3/2023,OS,3,6.72
10/17/2023,OS,1,5.86
10/17/2023,OS,2,4.69
10/17/2023,OS,3,2.65
10/31/2023,OS,1,1.92
10/31/2023,OS,2,5.03
10/31/2023,OS,3,7.83
3/26/2024,OS,1,0.74
3/26/2024,OS,2,0
3/26/2024,OS,3,0.3
4/9/2024,OS,1,1.06
4/9/2024,OS,2,2.95
4/9/2024,OS,3,1.41
4/23/2024,OS,1,5.08
