date,site,sample,cs spl
1/1/2015,PT,1,0
1/1/2015,PT,2,0
1/1/2015,PT,3,0
4/14/2015,PT,1,7
4/14/2015,PT,2,5.3
4/14/2015,PT,3,0
4/28/2015,PT,1,1.4
4/28/2015,PT,2,1.6
4/28/2015,PT,3,0
5/13/2015,PT,1,11.1
5/13/2015,PT,2,3.5
5/13/2015,PT,3,9.2
5/26/2015,PT,1,9.4
5/26/2015,PT,2,4.8
5/26/2015,PT,3,6.5
6/9/2015,PT,1,3.9
6/9/2015,PT,2,9.2
6/9/2015,PT,3,17.6
6/23/2015,PT,1,18.7
6/23/2015,PT,2,4.9
6/23/2015,PT,3,4.5
7/7/2015,PT,1,8
7/7/2015,PT,2,16.7
7/7/2015,PT,3,22.2
7/21/2015,PT,1,4.3
7/21/2015,PT,2,4.2
7/21/2015,PT,3,0.9
8/4/2015,PT,1,0
8/4/2015,PT,2,3.8
8/4/2015,PT,3,16.8
8/17/2015,PT,1,0.7
8/17/2015,PT,2,0.3
8/17/2015,PT,3,1
8/31/2015,PT,1,5.1
8/31/2015,PT,2,1.6
8/31/2015,PT,3,1.7
9/15/2015,PT,1,0
9/15/2015,PT,2,3.8
9/15/2015,PT,3,3.3
9/29/2015,PT,1,3.5
9/29/2015,PT,2,1.1
9/29/2015,PT,3,0.9
10/13/2015,PT,1,3.5
10/13/2015,PT,2,3.6
10/13/2015,PT,3,5.1
10/27/2015,PT,1,1.9
10/27/2015,PT,2,2
10/27/2015,PT,3,0.4
11/10/2015,PT,1,0
11/10/2015,PT,2,0
11/10/2015,PT,3,0
11/24/2015,PT,1,0
11/24/2015,PT,2,0.6
11/24/2015,PT,3,0.4
3/8/2016,PT,1,0
3/8/2016,PT,2,0.6
3/8/2016,PT,3,0
3/22/2016,PT,1,0.2
3/22/2016,PT,2,0
3/22/2016,PT,3,0
4/5/2016,PT,1,0.7
4/5/2016,PT,2,0
4/5/2016,PT,3,0.8
5/3/2016,PT,1,3.6
5/3/2016,PT,2,0.7
5/3/2016,PT,3,1.7
5/17/2016,PT,1,8.1
5/17/2016,PT,2,2.3
5/17/2016,PT,3,0
5/31/2016,PT,1,0
5/31/2016,PT,2,0
5/31/2016,PT,3,0
6/7/2016,PT,1,0
6/7/2016,PT,2,0
6/7/2016,PT,3,2.7
6/14/2016,PT,1,0.5
6/14/2016,PT,2,0
6/14/2016,PT,3,2.6
6/28/2016,PT,1,15.9
6/28/2016,PT,2,2.2
6/28/2016,PT,3,6.3
7/12/2016,PT,1,8
7/12/2016,PT,2,2.8
7/12/2016,PT,3,8.9
7/26/2016,PT,1,5
